,pvp,timestamp
A1MD34.SA,4.0061593,2025-12-02 14:10:30.009633
A1MT34.SA,5.4153705,2025-12-02 14:10:30.009633
A1ZN34.SA,2.7259514,2025-12-02 14:10:30.009633
AALL34.SA,2.0,2025-12-02 14:10:30.009633
AAPL34.SA,15.185333,2025-12-02 14:10:30.009633
AAVE-USD,2.0,2025-12-02 14:10:30.009633
ABBV34.SA,2.0,2025-12-02 14:10:30.009633
ABCB4.SA,0.8818241,2025-12-02 14:10:30.009633
ABEV3.SA,2.4042697,2025-12-02 14:10:30.009633
ADA-USD,2.0,2025-12-02 14:10:30.009633
ADBE34.SA,1.2185984,2025-12-02 14:10:30.009633
AIRB34.SA,2.2201822,2025-12-02 14:10:30.009633
ALGO-USD,2.0,2025-12-02 14:10:30.009633
ALOS3.SA,1.0941765,2025-12-02 14:10:30.009633
ALUP11.SA,1.2515107,2025-12-02 14:10:30.009633
ALZR11.SA,2.0,2025-12-02 14:10:30.009633
AMZO34.SA,1.8122416,2025-12-02 14:10:30.009633
ASAI3.SA,2.1786134,2025-12-02 14:10:30.009633
ASIA11.SA,2.0,2025-12-02 14:10:30.009633
ASML34.SA,2.174507,2025-12-02 14:10:30.009633
ATOM-USD,2.0,2025-12-02 14:10:30.009633
AURE3.SA,1.0470759,2025-12-02 14:10:30.009633
AVAX-USD,2.0,2025-12-02 14:10:30.009633
AVGO34.SA,0.50336874,2025-12-02 14:10:30.009633
AXPB34.SA,4.081064,2025-12-02 14:10:30.009633
AZZA3.SA,0.6944713,2025-12-02 14:10:30.009633
B1PP34.SA,13.016253,2025-12-02 14:10:30.009633
B3SA3.SA,3.887448,2025-12-02 14:10:30.009633
B5P211.SA,2.0,2025-12-02 14:10:30.009633
BABA34.SA,0.06876164,2025-12-02 14:10:30.009633
BBAS3.SA,0.7109874,2025-12-02 14:10:30.009633
BBDC4.SA,1.1767541,2025-12-02 14:10:30.009633
BBSE3.SA,5.2021117,2025-12-02 14:10:30.009633
BCH-USD,2.0,2025-12-02 14:10:30.009633
BEEF3.SA,4.614798,2025-12-02 14:10:30.009633
BERK34.SA,0.00027675068,2025-12-02 14:10:30.009633
BHIA3.SA,0.8242304,2025-12-02 14:10:30.009633
BIDU34.SA,0.058100183,2025-12-02 14:10:30.009633
BMGB4.SA,0.3592233,2025-12-02 14:10:30.009633
BMYB34.SA,28.73683,2025-12-02 14:10:30.009633
BNB-USD,2.0,2025-12-02 14:10:30.009633
BOAC34.SA,1.8716239,2025-12-02 14:10:30.009633
BOEI34.SA,2.0,2025-12-02 14:10:30.009633
BOVA11.SA,2.0,2025-12-02 14:10:30.009633
BPAC11.SA,3.9405608,2025-12-02 14:10:30.009633
BPAN4.SA,1.8868235,2025-12-02 14:10:30.009633
BRAP4.SA,0.907743,2025-12-02 14:10:30.009633
BRAV3.SA,0.50486887,2025-12-02 14:10:30.009633
BRAX11.SA,2.0,2025-12-02 14:10:30.009633
BRCO11.SA,2.0,2025-12-02 14:10:30.009633
BRCR11.SA,0.4873077,2025-12-02 14:10:30.009633
BRSR6.SA,0.5379712,2025-12-02 14:10:30.009633
BTC-USD,2.0,2025-12-02 14:10:30.009633
BTLG11.SA,1.0011699,2025-12-02 14:10:30.009633
C1CI34.SA,2.0,2025-12-02 14:10:30.009633
CAML3.SA,0.58273673,2025-12-02 14:10:30.009633
CASH3.SA,0.81967217,2025-12-02 14:10:30.009633
CATP34.SA,4.3445163,2025-12-02 14:10:30.009633
CBAV3.SA,0.85961115,2025-12-02 14:10:30.009633
CEAB3.SA,1.5013704,2025-12-02 14:10:30.009633
CHVX34.SA,0.8485003,2025-12-02 14:10:30.009633
CLSC4.SA,1.2182266,2025-12-02 14:10:30.009633
CMIG3.SA,1.4248731,2025-12-02 14:10:30.009633
CMIG4.SA,1.1381061,2025-12-02 14:10:30.009633
CMIN3.SA,2.8832707,2025-12-02 14:10:30.009633
COCA34.SA,8.742944,2025-12-02 14:10:30.009633
COLG34.SA,56.770245,2025-12-02 14:10:30.009633
CPFE3.SA,2.5214741,2025-12-02 14:10:30.009633
CPLE3.SA,1.5758198,2025-12-02 14:10:30.009633
CPLE6.SA,2.0,2025-12-02 14:10:30.009633
CPTS11.SA,2.0,2025-12-02 14:10:30.009633
CSAN3.SA,1.9817265,2025-12-02 14:10:30.009633
CSCO34.SA,6.8142486,2025-12-02 14:10:30.009633
CSMG3.SA,1.9037557,2025-12-02 14:10:30.009633
CSNA3.SA,0.7905102,2025-12-02 14:10:30.009633
CTGP34.SA,0.8495605,2025-12-02 14:10:30.009633
CURY3.SA,7.9540668,2025-12-02 14:10:30.009633
CXSE3.SA,3.5628612,2025-12-02 14:10:30.009633
CYRE3.SA,1.2751466,2025-12-02 14:10:30.009633
DEEC34.SA,0.8737136,2025-12-02 14:10:30.009633
DEVA11.SA,2.0,2025-12-02 14:10:30.009633
DIRR3.SA,3.9519558,2025-12-02 14:10:30.009633
DIVO11.SA,2.0,2025-12-02 14:10:30.009633
DNAI11.SA,2.0,2025-12-02 14:10:30.009633
DOGE-USD,2.0,2025-12-02 14:10:30.009633
DOT-USD,2.0,2025-12-02 14:10:30.009633
DUKB34.SA,10.180287,2025-12-02 14:10:30.009633
DXCO3.SA,0.6596972,2025-12-02 14:10:30.009633
E1QR34.SA,5.710356,2025-12-02 14:10:30.009633
ECOO11.SA,2.0,2025-12-02 14:10:30.009633
EGIE3.SA,2.856745,2025-12-02 14:10:30.009633
ELET3.SA,1.2072583,2025-12-02 14:10:30.009633
ELET6.SA,1.2743282,2025-12-02 14:10:30.009633
EMBR3.SA,3.507944,2025-12-02 14:10:30.009633
ENEV3.SA,2.0158255,2025-12-02 14:10:30.009633
ENGI11.SA,1.0142949,2025-12-02 14:10:30.009633
EQTL3.SA,1.7487804,2025-12-02 14:10:30.009633
ETC-USD,2.0,2025-12-02 14:10:30.009633
ETH-USD,2.0,2025-12-02 14:10:30.009633
EVEN3.SA,0.8599168,2025-12-02 14:10:30.009633
EXXO34.SA,1.2418672,2025-12-02 14:10:30.009633
FCXO34.SA,5.9119887,2025-12-02 14:10:30.009633
FDXB34.SA,12.5620775,2025-12-02 14:10:30.009633
FESA4.SA,0.70414084,2025-12-02 14:10:30.009633
FIND11.SA,2.0,2025-12-02 14:10:30.009633
FIQE3.SA,1.5675374,2025-12-02 14:10:30.009633
FLRY3.SA,1.6082432,2025-12-02 14:10:30.009633
GAME11.SA,2.0,2025-12-02 14:10:30.009633
GEOO34.SA,87.2844,2025-12-02 14:10:30.009633
GFSA3.SA,0.027714353,2025-12-02 14:10:30.009633
GGBR4.SA,0.6955161,2025-12-02 14:10:30.009633
GGRC11.SA,2.0,2025-12-02 14:10:30.009633
GILD34.SA,19.295393,2025-12-02 14:10:30.009633
GMAT3.SA,1.1319093,2025-12-02 14:10:30.009633
