,pvp,timestamp
A1MD34.SA,3.8947508,2025-12-01 12:59:28.048275
A1MT34.SA,,2025-12-01 12:59:28.048275
A1ZN34.SA,,2025-12-01 12:59:28.048275
AALL34.SA,2.0,2025-12-01 12:59:28.048275
AAPL34.SA,,2025-12-01 12:59:28.048275
AAVE-USD,,2025-12-01 12:59:28.048275
ABBV34.SA,,2025-12-01 12:59:28.048275
ABCB4.SA,,2025-12-01 12:59:28.048275
ABEV3.SA,2.3551338,2025-12-01 12:59:28.048275
ADA-USD,,2025-12-01 12:59:28.048275
ADBE34.SA,,2025-12-01 12:59:28.048275
AIRB34.SA,,2025-12-01 12:59:28.048275
ALGO-USD,,2025-12-01 12:59:28.048275
ALOS3.SA,,2025-12-01 12:59:28.048275
ALUP11.SA,,2025-12-01 12:59:28.048275
ALZR11.SA,,2025-12-01 12:59:28.048275
AMZO34.SA,,2025-12-01 12:59:28.048275
ASAI3.SA,,2025-12-01 12:59:28.048275
ASIA11.SA,2.0,2025-12-01 12:59:28.048275
ASML34.SA,,2025-12-01 12:59:28.048275
ATOM-USD,2.0,2025-12-01 12:59:28.048275
AURE3.SA,1.0368605,2025-12-01 12:59:28.048275
AVAX-USD,2.0,2025-12-01 12:59:28.048275
AVGO34.SA,0.5043819,2025-12-01 12:59:28.048275
AXPB34.SA,,2025-12-01 12:59:28.048275
AZZA3.SA,,2025-12-01 12:59:28.048275
B1PP34.SA,13.042899,2025-12-01 12:59:28.048275
B3SA3.SA,,2025-12-01 12:59:28.048275
B5P211.SA,2.0,2025-12-01 12:59:28.048275
BABA34.SA,0.06943555,2025-12-01 12:59:28.048275
BBAS3.SA,0.7011829,2025-12-01 12:59:28.048275
BBDC4.SA,1.1737429,2025-12-01 12:59:28.048275
BBSE3.SA,5.1628957,2025-12-01 12:59:28.048275
BCH-USD,2.0,2025-12-01 12:59:28.048275
BEEF3.SA,,2025-12-01 12:59:28.048275
BERK34.SA,,2025-12-01 12:59:28.048275
BHIA3.SA,0.846574,2025-12-01 12:59:28.048275
BIDU34.SA,0.05790788,2025-12-01 12:59:28.048275
BMGB4.SA,0.35679612,2025-12-01 12:59:28.048275
BMYB34.SA,28.73683,2025-12-01 12:59:28.048275
BNB-USD,,2025-12-01 12:59:28.048275
BOAC34.SA,,2025-12-01 12:59:28.048275
BOEI34.SA,,2025-12-01 12:59:28.048275
BOVA11.SA,,2025-12-01 12:59:28.048275
BPAC11.SA,,2025-12-01 12:59:28.048275
BPAN4.SA,,2025-12-01 12:59:28.048275
BRAP4.SA,,2025-12-01 12:59:28.048275
BRAV3.SA,,2025-12-01 12:59:28.048275
BRAX11.SA,,2025-12-01 12:59:28.048275
BRCO11.SA,,2025-12-01 12:59:28.048275
BRCR11.SA,,2025-12-01 12:59:28.048275
BRSR6.SA,0.53170717,2025-12-01 12:59:28.048275
BTC-USD,,2025-12-01 12:59:28.048275
BTLG11.SA,1.0004932,2025-12-01 12:59:28.048275
C1CI34.SA,2.0,2025-12-01 12:59:28.048275
CAML3.SA,,2025-12-01 12:59:28.048275
CASH3.SA,,2025-12-01 12:59:28.048275
CATP34.SA,,2025-12-01 12:59:28.048275
CBAV3.SA,0.82361406,2025-12-01 12:59:28.048275
CEAB3.SA,1.5279206,2025-12-01 12:59:28.048275
CHVX34.SA,0.8698189,2025-12-01 12:59:28.048275
CLSC4.SA,,2025-12-01 12:59:28.048275
CMIG3.SA,1.4059544,2025-12-01 12:59:28.048275
CMIG4.SA,1.1231703,2025-12-01 12:59:28.048275
CMIN3.SA,2.8778913,2025-12-01 12:59:28.048275
COCA34.SA,8.843453,2025-12-01 12:59:28.048275
COLG34.SA,57.391712,2025-12-01 12:59:28.048275
CPFE3.SA,2.4650574,2025-12-01 12:59:28.048275
CPLE3.SA,1.5472517,2025-12-01 12:59:28.048275
CPLE6.SA,2.0,2025-12-01 12:59:28.048275
CPTS11.SA,,2025-12-01 12:59:28.048275
CSAN3.SA,1.9187146,2025-12-01 12:59:28.048275
CSCO34.SA,6.838612,2025-12-01 12:59:28.048275
CSMG3.SA,,2025-12-01 12:59:28.048275
CSNA3.SA,,2025-12-01 12:59:28.048275
CTGP34.SA,0.8530658,2025-12-01 12:59:28.048275
CURY3.SA,7.9898863,2025-12-01 12:59:28.048275
CXSE3.SA,,2025-12-01 12:59:28.048275
CYRE3.SA,,2025-12-01 12:59:28.048275
DEEC34.SA,,2025-12-01 12:59:28.048275
DEVA11.SA,,2025-12-01 12:59:28.048275
DIRR3.SA,,2025-12-01 12:59:28.048275
DIVO11.SA,,2025-12-01 12:59:28.048275
DNAI11.SA,,2025-12-01 12:59:28.048275
DOGE-USD,2.0,2025-12-01 12:59:28.048275
DOT-USD,,2025-12-01 12:59:28.048275
DUKB34.SA,,2025-12-01 12:59:28.048275
DXCO3.SA,,2025-12-01 12:59:28.048275
E1QR34.SA,,2025-12-01 12:59:28.048275
ECOO11.SA,,2025-12-01 12:59:28.048275
EGIE3.SA,,2025-12-01 12:59:28.048275
ELET3.SA,,2025-12-01 12:59:28.048275
ELET6.SA,2.0,2025-12-01 12:59:28.048275
EMBR3.SA,,2025-12-01 12:59:28.048275
ENEV3.SA,,2025-12-01 12:59:28.048275
ENGI11.SA,1.0095367,2025-12-01 12:59:28.048275
EQTL3.SA,,2025-12-01 12:59:28.048275
ETC-USD,2.0,2025-12-01 12:59:28.048275
ETH-USD,,2025-12-01 12:59:28.048275
EVEN3.SA,,2025-12-01 12:59:28.048275
EXXO34.SA,1.2638785,2025-12-01 12:59:28.048275
EZTC3.SA,0.8660547,2025-12-01 12:59:28.048275
FCXO34.SA,5.9711237,2025-12-01 12:59:28.048275
FDXB34.SA,12.5620775,2025-12-01 12:59:28.048275
FESA4.SA,,2025-12-01 12:59:28.048275
FIND11.SA,2.0,2025-12-01 12:59:28.048275
FIQE3.SA,1.5508616,2025-12-01 12:59:28.048275
FLRY3.SA,,2025-12-01 12:59:28.048275
GAME11.SA,,2025-12-01 12:59:28.048275
GEOO34.SA,,2025-12-01 12:59:28.048275
GFSA3.SA,,2025-12-01 12:59:28.048275
GGBR4.SA,,2025-12-01 12:59:28.048275
GGRC11.SA,,2025-12-01 12:59:28.048275
GILD34.SA,,2025-12-01 12:59:28.048275
GMAT3.SA,,2025-12-01 12:59:28.048275
GOAU4.SA,0.5641894,2025-12-01 12:59:28.048275
GOGL34.SA,4.411076,2025-12-01 12:59:28.048275
GOLD11.SA,2.0,2025-12-01 12:59:28.048275
GOVE11.SA,2.0,2025-12-01 12:59:28.048275
GSGI34.SA,0.4154658,2025-12-01 12:59:28.048275
GUAR3.SA,,2025-12-01 12:59:28.048275
H1SB34.SA,9.627579,2025-12-01 12:59:28.048275
HABT11.SA,2.0,2025-12-01 12:59:28.048275
HALI34.SA,11.417004,2025-12-01 12:59:28.048275
HAPV3.SA,0.1434983,2025-12-01 12:59:28.048275
HASH11.SA,2.0,2025-12-01 12:59:28.048275
HBOR3.SA,0.26322955,2025-12-01 12:59:28.048275
HCTR11.SA,2.0,2025-12-01 12:59:28.048275
HFOF11.SA,2.0,2025-12-01 12:59:28.048275
HGBS11.SA,0.8569454,2025-12-01 12:59:28.048275
HGCR11.SA,2.0,2025-12-01 12:59:28.048275
HGLG11.SA,1.013467,2025-12-01 12:59:28.048275
HGRE11.SA,0.728248,2025-12-01 12:59:28.048275
HGRU11.SA,2.0,2025-12-01 12:59:28.048275
HOME34.SA,5.6270013,2025-12-01 12:59:28.048275
HONB34.SA,38.87943,2025-12-01 12:59:28.048275
HSML11.SA,2.0,2025-12-01 12:59:28.048275
IB5M11.SA,2.0,2025-12-01 12:59:28.048275
IBMB34.SA,54.780087,2025-12-01 12:59:28.048275
IGTI11.SA,1.6915995,2025-12-01 12:59:28.048275
IMAB11.SA,2.0,2025-12-01 12:59:28.048275
INTB3.SA,1.343486,2025-12-01 12:59:28.048275
IRBR3.SA,0.76985717,2025-12-01 12:59:28.048275
IRDM11.SA,2.0,2025-12-01 12:59:28.048275
IRFM11.SA,2.0,2025-12-01 12:59:28.048275
ISAE4.SA,0.8631937,2025-12-01 12:59:28.048275
ITLC34.SA,1.594534,2025-12-01 12:59:28.048275
ITSA4.SA,,2025-12-01 12:59:28.048275
ITUB4.SA,,2025-12-01 12:59:28.048275
IVVB11.SA,2.0,2025-12-01 12:59:28.048275
JDCO34.SA,0.16212577,2025-12-01 12:59:28.048275
JHSF3.SA,0.7883861,2025-12-01 12:59:28.048275
JNJB34.SA,2.2281241,2025-12-01 12:59:28.048275
JPMC34.SA,,2025-12-01 12:59:28.048275
JSRE11.SA,,2025-12-01 12:59:28.048275
KISU11.SA,2.0,2025-12-01 12:59:28.048275
KLBN11.SA,,2025-12-01 12:59:28.048275
KNCR11.SA,1.0471112,2025-12-01 12:59:28.048275
KNHY11.SA,2.0,2025-12-01 12:59:28.048275
KNIP11.SA,,2025-12-01 12:59:28.048275
KNRI11.SA,,2025-12-01 12:59:28.048275
KNSC11.SA,,2025-12-01 12:59:28.048275
LAVV3.SA,,2025-12-01 12:59:28.048275
LFTS11.SA,2.0,2025-12-01 12:59:28.048275
LILY34.SA,,2025-12-01 12:59:28.048275
LINK-USD,2.0,2025-12-01 12:59:28.048275
LMTB34.SA,90.42197,2025-12-01 12:59:28.048275
LOGG3.SA,0.5802761,2025-12-01 12:59:28.048275
LREN3.SA,,2025-12-01 12:59:28.048275
LTC-USD,,2025-12-01 12:59:28.048275
LTNB11.SA,,2025-12-01 12:59:28.048275
LVBI11.SA,,2025-12-01 12:59:28.048275
LWSA3.SA,,2025-12-01 12:59:28.048275
M1RN34.SA,,2025-12-01 12:59:28.048275
M1TA34.SA,,2025-12-01 12:59:28.048275
MATB11.SA,,2025-12-01 12:59:28.048275
MATD3.SA,,2025-12-01 12:59:28.048275
MATIC-USD,,2025-12-01 12:59:28.048275
MCCI11.SA,2.0,2025-12-01 12:59:28.048275
MCDC34.SA,2.0,2025-12-01 12:59:28.048275
MDIA3.SA,1.0332714,2025-12-01 12:59:28.048275
MELI34.SA,,2025-12-01 12:59:28.048275
MELK3.SA,0.7177753,2025-12-01 12:59:28.048275
MGLU3.SA,0.6768905,2025-12-01 12:59:28.048275
MLAS3.SA,0.37698966,2025-12-01 12:59:28.048275
MMMC34.SA,26.297062,2025-12-01 12:59:28.048275
MRCK34.SA,3.3216598,2025-12-01 12:59:28.048275
MRVE3.SA,1.0040634,2025-12-01 12:59:28.048275
MSBR34.SA,2.8521981,2025-12-01 12:59:28.048275
MSCD34.SA,10.742513,2025-12-01 12:59:28.048275
MSFT34.SA,2.2203112,2025-12-01 12:59:28.048275
MULT3.SA,2.426948,2025-12-01 12:59:28.048275
MXRF11.SA,0.96010476,2025-12-01 12:59:28.048275
NASD11.SA,2.0,2025-12-01 12:59:28.048275
NEAR-USD,2.0,2025-12-01 12:59:28.048275
NEOE3.SA,1.08361,2025-12-01 12:59:28.048275
NEXT34.SA,4.355781,2025-12-01 12:59:28.048275
NFLX34.SA,1.887347,2025-12-01 12:59:28.048275
NIKE34.SA,3.8177233,2025-12-01 12:59:28.048275
NVDC34.SA,4.086263,2025-12-01 12:59:28.048275
ODPV3.SA,4.9387407,2025-12-01 12:59:28.048275
ORCL34.SA,21.105623,2025-12-01 12:59:28.048275
OXYP34.SA,1.3386159,2025-12-01 12:59:28.048275
P1LD34.SA,1.0113055,2025-12-01 12:59:28.048275
PAGS34.SA,0.2161634,2025-12-01 12:59:28.048275
PATL11.SA,2.0,2025-12-01 12:59:28.048275
PEPB34.SA,3.7452338,2025-12-01 12:59:28.048275
PETR3.SA,1.0312672,2025-12-01 12:59:28.048275
PETR4.SA,0.9761077,2025-12-01 12:59:28.048275
PETZ3.SA,1.1619349,2025-12-01 12:59:28.048275
PFIZ34.SA,,2025-12-01 12:59:28.048275
PGCO34.SA,2.5147996,2025-12-01 12:59:28.048275
PIBB11.SA,2.0,2025-12-01 12:59:28.048275
PLPL3.SA,,2025-12-01 12:59:28.048275
PNVL3.SA,1.1794568,2025-12-01 12:59:28.048275
POMO4.SA,1.6562501,2025-12-01 12:59:28.048275
PRIO3.SA,,2025-12-01 12:59:28.048275
PSSA3.SA,2.0405614,2025-12-01 12:59:28.048275
PVBI11.SA,,2025-12-01 12:59:28.048275
PYPL34.SA,,2025-12-01 12:59:28.048275
QBTC11.SA,,2025-12-01 12:59:28.048275
QCOM34.SA,,2025-12-01 12:59:28.048275
QETH11.SA,,2025-12-01 12:59:28.048275
QUAL3.SA,0.49802545,2025-12-01 12:59:28.048275
R1IN34.SA,3.600622,2025-12-01 12:59:28.048275
RADL3.SA,5.781097,2025-12-01 12:59:28.048275
RAIL3.SA,,2025-12-01 12:59:28.048275
RAIZ4.SA,0.6273338,2025-12-01 12:59:28.048275
RANI3.SA,,2025-12-01 12:59:28.048275
RAPT4.SA,0.79016787,2025-12-01 12:59:28.048275
RBRF11.SA,,2025-12-01 12:59:28.048275
RBRL11.SA,,2025-12-01 12:59:28.048275
RBRP11.SA,,2025-12-01 12:59:28.048275
RBRR11.SA,2.0,2025-12-01 12:59:28.048275
RBRY11.SA,2.0,2025-12-01 12:59:28.048275
RCRB11.SA,,2025-12-01 12:59:28.048275
RDOR3.SA,3.8003855,2025-12-01 12:59:28.048275
RECR11.SA,2.0,2025-12-01 12:59:28.048275
RECT11.SA,2.0,2025-12-01 12:59:28.048275
RECV3.SA,0.6920904,2025-12-01 12:59:28.048275
RIOT34.SA,10.838634,2025-12-01 12:59:28.048275
ROXO34.SA,7.139578,2025-12-01 12:59:28.048275
RZTR11.SA,2.0,2025-12-01 12:59:28.048275
S1PO34.SA,20.65515,2025-12-01 12:59:28.048275
SANB11.SA,1.3817502,2025-12-01 12:59:28.048275
SAPP34.SA,35.1123,2025-12-01 12:59:28.048275
SAPR11.SA,0.9237533,2025-12-01 12:59:28.048275
SBSP3.SA,2.2515085,2025-12-01 12:59:28.048275
SDIL11.SA,,2025-12-01 12:59:28.048275
SHIB-USD,2.0,2025-12-01 12:59:28.048275
SHUL4.SA,1.170115,2025-12-01 12:59:28.048275
SIMN34.SA,35.11947,2025-12-01 12:59:28.048275
SLBG34.SA,5.5874124,2025-12-01 12:59:28.048275
SMAL11.SA,2.0,2025-12-01 12:59:28.048275
SMTO3.SA,0.6292125,2025-12-01 12:59:28.048275
SNEC34.SA,0.11892702,2025-12-01 12:59:28.048275
SOL-USD,2.0,2025-12-01 12:59:28.048275
SPXI11.SA,,2025-12-01 12:59:28.048275
SSFO34.SA,,2025-12-01 12:59:28.048275
SUZB3.SA,,2025-12-01 12:59:28.048275
TAEE11.SA,,2025-12-01 12:59:28.048275
TASA4.SA,,2025-12-01 12:59:28.048275
TECK11.SA,2.0,2025-12-01 12:59:28.048275
TEND3.SA,2.7906513,2025-12-01 12:59:28.048275
TEPP11.SA,,2025-12-01 12:59:28.048275
TGAR11.SA,2.0,2025-12-01 12:59:28.048275
TGTB34.SA,14.290764,2025-12-01 12:59:28.048275
TMCO34.SA,,2025-12-01 12:59:28.048275
TOTS3.SA,,2025-12-01 12:59:28.048275
TRX-USD,,2025-12-01 12:59:28.048275
TRXF11.SA,,2025-12-01 12:59:28.048275
TSLA34.SA,,2025-12-01 12:59:28.048275
TSMC34.SA,,2025-12-01 12:59:28.048275
TXSA34.SA,,2025-12-01 12:59:28.048275
U1BE34.SA,,2025-12-01 12:59:28.048275
UGPA3.SA,,2025-12-01 12:59:28.048275
UNHH34.SA,,2025-12-01 12:59:28.048275
UNI7083-USD,,2025-12-01 12:59:28.048275
UNIP6.SA,2.6749809,2025-12-01 12:59:28.048275
UPSS34.SA,1.7090948,2025-12-01 12:59:28.048275
URPR11.SA,2.0,2025-12-01 12:59:28.048275
VALE3.SA,1.3252965,2025-12-01 12:59:28.048275
VBBR3.SA,1.4009335,2025-12-01 12:59:28.048275
VGHF11.SA,,2025-12-01 12:59:28.048275
VGIP11.SA,,2025-12-01 12:59:28.048275
VILG11.SA,2.0,2025-12-01 12:59:28.048275
VINO11.SA,,2025-12-01 12:59:28.048275
VISA34.SA,,2025-12-01 12:59:28.048275
VISC11.SA,,2025-12-01 12:59:28.048275
VIVA3.SA,,2025-12-01 12:59:28.048275
VRTA11.SA,,2025-12-01 12:59:28.048275
VSLH11.SA,2.0,2025-12-01 12:59:28.048275
VVEO3.SA,,2025-12-01 12:59:28.048275
WALM34.SA,,2025-12-01 12:59:28.048275
WEGE3.SA,,2025-12-01 12:59:28.048275
WFCO34.SA,,2025-12-01 12:59:28.048275
XINA11.SA,,2025-12-01 12:59:28.048275
XLM-USD,,2025-12-01 12:59:28.048275
XPBR31.SA,,2025-12-01 12:59:28.048275
XPLG11.SA,,2025-12-01 12:59:28.048275
XPML11.SA,2.0,2025-12-01 12:59:28.048275
XPSF11.SA,,2025-12-01 12:59:28.048275
XRP-USD,,2025-12-01 12:59:28.048275
Z1OM34.SA,,2025-12-01 12:59:28.048275
ZAMP3.SA,,2025-12-01 12:59:28.048275
^BVSP,2.0,2025-12-01 12:59:28.048275
